source_name,table_name,column_data_type,column_name,enriched,column_data_mode,tag_version,data_criticality,column_description,attribute_type,sensitivity_type,policy_tag,operation,table_version
IAG,iag_cgu_policy_analytical,STRING,originating_channel_name,FALSE,REQUIRED,1,Not assessed,"The channel an {partner} sales (i.e. a submission transaction) starts, it could be either Online or Contact Centre. Online may refer to sales started from Partner Branch or Web. Contact Centre refers to IAG Contact Centre. For Migration Renewal from QBE to {partner}, the channel will be  populated as 'Contact Centre'. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,completing_channel_name,FALSE,NULLABLE,1,Not assessed,"The channel an {partner} sales finalised. It will be populated with a value if the sales finalised in a different channel to the sales starts, otherwise it will be NULL. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,originating_channel_name_derived,FALSE,NULLABLE,1,Not assessed,"The Derived originating channel as per {partner} required - If originating channel = Contact center then IAG Contact Centre If originating channel = Online (i.e. Partner's Web / branch / contact center) - then  Digital - when originating branch code is null Partner Contact Centre - When originating branch code is in {partner}'s 'Contact Centre'  hierachy Partner Branch - When originating branch code is in {partner}'s Australian Branch Network Otherwise 'Unknown' ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,completing_channel_name_derived,FALSE,NULLABLE,1,Not assessed,Refer above originating channel name update,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,originating_branch_code,FALSE,NULLABLE,1,Not assessed,The branch / contact centre Identifier passed on from {partner} which can help identifier an {partner} branch or an {partner} contact center. The code will populate the information that a customer starts its submission. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,updated_branch_code,FALSE,NULLABLE,1,Not assessed,"Same concept as originating_branch_code, however it will be the identifier when {partner} sales is being finalised. Comparison between Originating and Completing branch code / channel name could identifier if there is any shift of sales channel and/or sales branch. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,job_originating_channel_name,FALSE,NULLABLE,1,Not assessed,The channel a Policy Transaction will be initiated. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,job_completing_channel_name,FALSE,NULLABLE,1,Not assessed,The channel a Policy Transaction will be finalised. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,policy_migrated_flag,FALSE,NULLABLE,1,Not assessed,A Y/N indicate to indicate the policy has been migrated from an external source to IAG's PolicyCenter. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,legacy_policy_number,FALSE,NULLABLE,1,Not assessed,"The Heritage System's Policy identifier. For QBE's migrated policy, this will be the policy_number field from QBE's policy common file. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,original_policy_inception_date,FALSE,NULLABLE,1,Not assessed,"The start date of a Policy's lifecycle, for QBE's migrated policy, it will be QBE's original_start_date from QBE's policy common file. For non QBE's migrated policy, it will be the policy start date with IAG. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,pay_later_flag,FALSE,NULLABLE,1,Not assessed,A Y/N to indicate of Customer choose the Pay later option,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,paid_flag,FALSE,NULLABLE,1,Not assessed,"A Y/N to indicate if a customer has made the payment for a policy term. IF a policy is via instalments, it indicate whether IAG receives the first instatement amount from a customer. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,first_payment_date,FALSE,NULLABLE,1,Not assessed,"The date IAG receives the customer's payment. For an instalments policy, it indicates the date IAG receives the customer's first instatement amount. ",Native,FIN.first_payment_date,Confidential-A-V1.Financial.Payment_Details,I,1
IAG,iag_cgu_policy_analytical,STRING,cancellation_type,FALSE,NULLABLE,1,Not assessed,"The type of a cancellation, could be either ""Flat"" (cancellation date is the same as policy's term start date) OR ""Mid Term"" (cancellation date greater than the policy term start date). This field will only be populated for a cancellation job. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,cancellation_date,FALSE,NULLABLE,1,Not assessed,The date the cancellation is taking effective. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,cancellation_reason_name,FALSE,NULLABLE,1,Not assessed,The sub category of a cancellation type. It provides reason for a cancellation. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,non_renewal_reason_name,FALSE,NULLABLE,1,Not assessed,The reason customer provided if a Renewal is in non renewal / withdrawn status. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,renewal_not_taken_reason_type_name,FALSE,NULLABLE,1,Not assessed,The reason customer provided if a Renewal Offer has been declined by a customer,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,selected_term_type_name,FALSE,NULLABLE,1,Not assessed,Whether it is an annual policy OR non annual (mostly applicable to Travel product). ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,length_of_policy_in_months,FALSE,NULLABLE,1,Not assessed,The number of months for a policy. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,primary_insured_name,FALSE,NULLABLE,1,Not assessed,The primary insured name on the policy. ,Native,PII.primary_insured_name,Confidential-PII-Customer-A-V1.Customer-Name,I,1
IAG,iag_cgu_policy_analytical,STRING,create_consultant_id,FALSE,REQUIRED,1,Not assessed,"The Identifier of the person created the policy transaction. sXXXX refers the transaction is created by an IAG person, pbXXX refers to the transaction created by a Partner staff, pu/bu/su refer to a transaction created by system. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,create_consultant_partner_employee_number,FALSE,NULLABLE,1,Not assessed,The employee number of a partner staff. The number should be passed from Partner {partner},Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,update_consultant_id,FALSE,REQUIRED,1,Not assessed,"The Identifier of the person updated the policy transaction. sXXXX refers the transaction is created by an IAG person, pbXXX refers to the transaction created by a Partner staff, pu/bu/su refer to a transaction created by system. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,update_consultant_partner_employee_number,FALSE,NULLABLE,1,Not assessed,The employee number of a partner staff. The number should be passed from Partner {partner},Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,billing_period_frequency_name,FALSE,NULLABLE,1,Not assessed,The frequency of billing / instalments frequency. ,Native,FIN.billing_period_frequency_name,Confidential-A-V1.Financial.Payment_Details,I,1
IAG,iag_cgu_policy_analytical,STRING,billing_method_name,FALSE,NULLABLE,1,Not assessed,The method of a billing. ,Native,FIN.billing_method_name,Confidential-A-V1.Financial.Payment_Details,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,annualised_base_premium,FALSE,REQUIRED,1,Not assessed,"The Transaction premium for the policy transaction, inclusive of partner commission amount. ",Native,FIN.annualised_base_premium,Confidential-A-V1.Financial.Payment_Details,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,gst,FALSE,REQUIRED,1,Not assessed,Tax and Charges amount for a policy transaction.,Native,FIN.gst,Confidential-A-V1.Financial.Payment_Details,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,stamp_duty,FALSE,REQUIRED,1,Not assessed,Tax and Charges amount for a policy transaction.,Native,FIN.stamp_duty,Confidential-A-V1.Financial.Payment_Details,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,esl,FALSE,REQUIRED,1,Not assessed,Tax and Charges amount for a policy transaction.,Native,FIN.esl,Confidential-A-V1.Financial.Payment_Details,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,prior_term_base_premium,FALSE,NULLABLE,1,Not assessed,The prior term's annualised premium. This field will NOT populate the QBE's prior term price for the migration renewal term... it will only populate the Prior term's value for IAG's Native Renewal. {partner} agree to stitch in {partner}'s own warehouse to obtain the QBE's prior term renewal price. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,prior_term_gst,FALSE,NULLABLE,1,Not assessed,Tax and Charges amount for prior term.,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,prior_term_stamp_duty,FALSE,NULLABLE,1,Not assessed,Tax and Charges amount for prior term.,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,prior_term_esl,FALSE,NULLABLE,1,Not assessed,Tax and Charges amount for prior term.,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,correspondence_address_line_1,FALSE,NULLABLE,1,Not assessed,The correspondence address a customer prefers for a Policy,Native,PII.correspondence_address_line_1,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_policy_analytical,STRING,correspondence_address_line_2,FALSE,NULLABLE,1,Not assessed,The correspondence address a customer prefers for a Policy,Native,PII.correspondence_address_line_2,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_policy_analytical,STRING,correspondence_email,FALSE,NULLABLE,1,Not assessed,"The email address of Customer's correspondence email, at quoted status, it could populate the Customer's quote follow up email address (if Customer did not provide quote follow up email address, then it would be default to Customer's correspondence email).  ",Native,PII.correspondence_email,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Email,I,1
IAG,iag_cgu_policy_analytical,STRING,email_document_consent,FALSE,NULLABLE,1,Not assessed,Email Document Consent,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,policy_term_instalment_amount,FALSE,NULLABLE,1,Not assessed,"The Instalment amount for the Policy Term, will only show if Policy is NOT an annual pay policy, amount including Tax and Charges as requested by {partner} team",Native,FIN.policy_term_instalment_amount ,Confidential-A-V1.Financial,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,adjustment_annualised_amount,FALSE,NULLABLE,1,Not assessed,The dollar amount for an adjustments / discretionary amount ,Native,FIN.adjustment_annualised_amount ,Confidential-A-V1.Financial,I,1
IAG,iag_cgu_policy_analytical,NUMERIC,offer_discount_annualised_amount,FALSE,NULLABLE,1,Not assessed,"Column to reflect Discount information. If $0 THEN Policy had staff benefit applied (applicable to Renewing / Quoted / Bound status), if <> $0 THEN sum of the applicable discount (online and/or offer), else null. As of Sept. 2023, the exact discount (apart from staff benefit)/ campaign is remaining as a future proofing concept, hence this field requires review and future uplift when {partner} / CGU enables discount and campaign. {partner} agree to use the Staff benefit applied component in this attribute as a REFERENCE ONLY, given Staff benefit is applied through 0% commission, {partner} has agreed to reference the staff benefit applied component in this attribute as a 'REFERENCE ONLY' concept, i.e. at any point in time or occasion, the source of commission amount would be from Commission Statement and Flatfile, IF there is an internal / external audit, {partner} would seek with CGU for information to support rather than solely relying on this column. ",Native,FIN.offer_discount_annualised_amount ,Confidential-A-V1.Financial,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,md_row_effective_date,FALSE,REQUIRED,1,Not assessed,"Gives the update time of the record in the GW system, sometimes if it is the initial create / update time - it will be displayed as 1900-01-01 00:00:00",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,policy_number,FALSE,NULLABLE,1,Not assessed,The Policy Identifier that Customer receives,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,policy_period,FALSE,REQUIRED,1,Not assessed,Policy Period ID,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,quote_number,FALSE,NULLABLE,1,Not assessed,The Quote Identifier that Customer receives,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,job_name,FALSE,REQUIRED,1,Not assessed,"The name of a policy transaction (i.e policy job), e.g. Cancellation / Policy Change / Reinstatement / Submission / Renewal",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,job_number,FALSE,REQUIRED,1,Not assessed,"A business identifier of a job, if the job is submission, then job number will be the same as quote number. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,policy_status_name,FALSE,REQUIRED,1,Not assessed,"The status of a job. For Cancellation / Reinstatement / Policy Change, the policy Status will always be Bound. For Submission, status could be quoted or bound (or any other final status e.g. Decline, Withdrawn, Not Taken). For Renewal, status could be Renewing or Bound (or any other final status e.g. Not-Taken, Not Renewed, Withdrawn)",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,INTEGER,asset_number,FALSE,REQUIRED,1,Not assessed,An identifier of a risk / cover. Will not change throughout the Risk life cycle. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,brand_name,FALSE,REQUIRED,1,Not assessed,Always going to be {partner},Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,product_name,FALSE,REQUIRED,1,Not assessed,"The name of the product, it could be Home / Car / Landlord.",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,risk_id,FALSE,NULLABLE,1,Not assessed,Policy Period ID,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,TIMESTAMP,risk_term_start_date,FALSE,REQUIRED,1,Not assessed,The term start date of a Risk. It could be different to a policy term start date if a risk is added mid term. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,TIMESTAMP,risk_term_end_date,FALSE,REQUIRED,1,Not assessed,The term end date of a Risk. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,TIMESTAMP,risk_effective_date,FALSE,REQUIRED,1,Not assessed,The effective start date of a risk for the policy period / transaction.,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,TIMESTAMP,risk_expiration_date,FALSE,REQUIRED,1,Not assessed,The effective end date of a risk for the policy period / transaction. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,TIMESTAMP,job_close_date,FALSE,REQUIRED,1,Not assessed,"The finalization date of a policy transaction. It will ONLY be populated when a policy transaction achieves a final status (e.g. Bound, Not Taken, Decline). However, {partner} have requested IF this is NULL, then populate the Written_date's value into this field so to help design CDC",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,INTEGER,risk_term_number,FALSE,NULLABLE,1,Not assessed,The Risk term number. Could be different to a policy term start date if a risk is added in subsequent renewal term. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,risk_type_name,FALSE,NULLABLE,1,Not assessed,"Indicate the risk type, given {partner}'s current insurance landscape not including Niche product, hence will always be Motor Vehicle.",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,product_model_variation_name,FALSE,REQUIRED,1,Not assessed,"Indicate the tier of risk the customer opt in. For the immediate {partner} release, IAG will be offering Gold Product for Comprehensive, however this tier might be expanded in future.",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,NUMERIC,sum_insured,FALSE,REQUIRED,1,Not assessed,The sum insured amount of the risk. ,Native,FIN.sum_insured,Confidential-A-V1.Financial,I,1
IAG,iag_cgu_risk_motor_analytical,NUMERIC,risk_added_bound_volume,FALSE,NULLABLE,1,Not assessed,A Boolean to indicate a risk being added during a policy transaction. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,NUMERIC,risk_removed_bound_volume,FALSE,NULLABLE,1,Not assessed,A Boolean to indicate a risk being removed during a policy transaction. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,risk_cancellation_type,FALSE,NULLABLE,1,Not assessed,The cancellation type to indicate if a risk has been removed Mid term or Flat. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,TIMESTAMP,risk_cancellation_date,FALSE,NULLABLE,1,Not assessed,The cancellation/risk removal effective date for a risk.,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,risk_removed_reasoncode,FALSE,NULLABLE,1,Not assessed,The cancellation reason for a cancellation / risk removal,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,risk_removed_subreasoncode,FALSE,NULLABLE,1,Not assessed,The sub cancellation reason for a cancellation / risk removal. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,risk_migrated_flag,FALSE,NULLABLE,1,Not assessed,A Y/N to indicate if a risk is being migrated from a Heritage system. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,campaign_code,FALSE,NULLABLE,1,Not assessed,The Campaign code that a risk entitles. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,partnership_campaign,FALSE,NULLABLE,1,Not assessed,A Y/N to indicate if a risk is entitled to a Partner ship campaign. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,giftcard_campaign,FALSE,NULLABLE,1,Not assessed,A Y/N to indicate if a risk is entitled to a gift card campaign.,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,flat_unit_number,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.flat_unit_number,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,flat_unit_type_name,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.flat_unit_type_name,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,floor_level_number,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.floor_level_number,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,floor_level_type_name,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.floor_level_type_name,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,house_number,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.house_number,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,lot_number,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.lot_number,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,street_direction_type_name,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.street_direction_type_name,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,street_name,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.street_name,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,street_type_name,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.street_type_name,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,address_line_1,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.address_line_1,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,address_line_2,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.address_line_2,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,suburb,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.suburb,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,city,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.city,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,state_name,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.state_name,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,country_name,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.country_name,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,postal_code,FALSE,NULLABLE,1,Not assessed,Risk Address details.,Native,PII.postal_code,Confidential-PII-Customer-A-V1.Customer-Contact_Method.Customer-Address,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,vehicle_number,FALSE,NULLABLE,1,Not assessed,"The Risk Number, given {partner} will be a single risk strategy, most of the time the vehicle number will be 1. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,vehicle_make,FALSE,REQUIRED,1,Not assessed,Make of the vehicle,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,vehicle_model,FALSE,REQUIRED,1,Not assessed,Model of the vehicle.,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,INTEGER,vehicle_year,FALSE,REQUIRED,1,Not assessed,Vehicle model year,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,license_plate,FALSE,NULLABLE,1,Not assessed,license plate of the vehicle.,Native,PII.license_plate,Confidential-PII-Customer-A-V1.Customer-Identification_Numbers,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,vehicle_identification_number,FALSE,NULLABLE,1,Not assessed,VIN (vehicle identification number) of the vehicle. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,vehicle_market_value_flag,FALSE,REQUIRED,1,Not assessed,A Y/N to indicate a vehicle is market value or agreed value. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,NUMERIC,vehicle_agreed_value_amount,FALSE,NULLABLE,1,Not assessed,"If vehicle_market_value_flag = 'N', then field will be populated to indicate the agreed value amount for insured. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,glass_extension_coverage_flag,FALSE,NULLABLE,1,Not assessed,Whether the Risk is oped in for Windscreen protection additional coverage. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,hire_vehicle_after_incident_coverage_flag,FALSE,NULLABLE,1,Not assessed,Whether the Risk is oped in for Hire care additional coverage. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,finance_provider_name,FALSE,NULLABLE,1,Not assessed,"Providing the finance provider associated with the risk. If any partner is not {partner}, then the name will be de-masked as 'Other'",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_risk_motor_analytical,STRING,gnaf_id,FALSE,NULLABLE,1,Not assessed,GNAF information for a risk address,Native,Non-sensitive,Internal-A-V1,I,1
